strain,orien,roundness,aspect,size,tilt,nearest_grain,ferrite_bainite,size4,division
1.0,0.0,0.308,0.212,0.9750176208003759,58.636,44.1475,0.0,0.8516720181690031,12.650602409638564
1.0,0.0,0.406,0.424,0.5188346777351398,67.571,43.0116,0.0,0.4405200093977602,15.094339622641511
1.0,0.0,0.45,0.379,0.6079176129689089,30.248,44.2945,0.0,0.48750881040018795,19.80676328502412
0.0,1.0,0.5539999999999999,0.647,0.3582896076435116,11.044999999999987,22.8473,0.0,0.3073850732242149,14.207650273224035
0.0,2.0,0.292,0.662,2.783107526039627,27.595,67.1863,0.0,2.3141984493695658,16.848399577910687
1.0,1.0,0.285,0.4320000000000001,0.5981282794267366,47.994,44.1475,0.0,0.3191322734748219,46.64484451718492
0.0,3.0,0.334,0.365,0.8996397525256481,24.96799999999999,22.8473,0.0,0.7831466833737959,12.948857453754089
1.0,3.0,0.279,0.223,2.8007283264155376,40.339,58.1378,0.0,2.433628318584071,13.107305138063607
2.0,0.0,0.139,0.124,5.696413188190148,54.040000000000006,31.7805,0.0,4.976897172840473,12.631036260525859
1.0,1.0,0.35700000000000004,0.299,0.3416477406218185,20.142,29.1548,0.0,0.1938288041350145,43.26647564469914
2.0,0.0,0.19,0.555,2.741992325162503,8.640999999999991,55.7315,0.0,1.8384368392199857,32.95251695822921
2.0,0.0,0.163,0.35200000000000004,3.3988566058422744,33.20099999999999,55.7315,0.0,2.8369488605215762,16.532258064516128
2.0,1.0,0.202,0.386,5.213799044561045,36.67599999999999,45.1221,0.0,4.689090766700604,10.063837776943274
0.0,0.0,0.302,0.23,1.003406688072676,39.92500000000001,38.3275,0.0,0.691126948077375,31.12195121951218
0.0,2.0,0.378,0.3,0.3533949408724254,28.035,67.1863,0.0,0.32304800689169083,8.587257617728525
1.0,1.0,0.263,0.7440000000000001,1.739564570444044,21.86600000000001,29.1548,0.0,1.4762314981596052,15.137872819358465
1.0,2.0,0.483,0.438,0.3308794737254288,68.61,31.0,0.0,0.28389067272300106,14.201183431952655
1.0,1.0,0.31,0.259,0.4209413423134153,33.643,34.1321,0.0,0.3426266739760357,18.604651162790702
1.0,2.0,0.693,0.675,0.7479050826219751,89.816,40.0125,0.0,0.6284752134074713,15.968586387434542
0.0,1.0,0.34700000000000003,0.609,0.3710157412483358,28.689,38.3275,0.0,0.3289216070169943,11.345646437994715
1.0,2.0,0.331,0.608,0.5668024120917847,50.578,31.1448,0.0,0.5325397446941812,6.044905008635568
3.0,1.0,0.622,0.7759999999999999,1.8315843057404653,76.72399999999998,41.7612,0.0,1.6015349674994126,12.560128273650465
0.0,1.0,0.407,0.65,0.9241130863810793,81.248,50.0899,1.0,0.7361578823713681,20.338983050847474
1.0,2.0,0.51,0.879,0.4561829430652361,17.989,34.1321,0.0,0.3054272065157804,33.04721030042917
2.0,3.0,0.29100000000000004,0.71,2.6020048555094366,44.708,25.4951,0.0,0.7342000156629337,71.78329571106093
1.0,2.0,0.195,0.128,0.7028741483279819,61.99500000000001,34.2053,0.0,0.5247082778604433,25.34818941504179
2.0,2.0,0.221,0.67,2.508027253504581,84.887,31.0,0.0,2.1301589787767248,15.066354410616697
1.0,1.0,0.5589999999999999,0.75,0.3093429399326494,86.171,44.1022,1.0,0.14879786984102122,51.89873417721518
2.0,3.0,0.456,0.385,0.3328373404338633,43.19,25.4951,0.0,0.22319680476153184,32.94117647058825
2.0,1.0,0.454,0.439,0.6098754796773436,47.84100000000001,29.0172,0.0,0.3269637403085598,46.3884430176565
1.0,1.0,0.197,0.151,2.017581643041742,36.979000000000006,31.1448,0.0,1.891299240347717,6.259097525473095
1.0,2.0,0.198,0.655,3.1423760670373566,87.04700000000003,41.7612,0.0,2.4845328530033672,20.93457943925236
0.0,1.0,0.14800000000000002,0.629,0.9280288197979482,57.44300000000001,44.1022,1.0,0.6715482809930301,27.637130801687746
1.0,2.0,0.17800000000000002,0.636,5.916673192889028,4.349,38.3275,0.0,2.7664656590179337,53.24288550628722
1.0,1.0,0.306,0.328,0.31521654005795285,59.402,35.2278,0.0,0.2701856057639596,14.285714285714278
1.0,1.0,0.259,0.701,0.31423760670373563,71.322,35.2278,1.0,0.04111520087712429,86.9158878504673
1.0,1.0,0.251,0.626,0.6813376145352025,45.801,39.0,0.0,0.45030934293993263,33.9080459770115
2.0,1.0,0.435,0.855,0.3719946746025531,28.908999999999992,33.1361,1.0,0.12726133604824186,65.78947368421052
1.0,1.0,0.159,0.637,2.030307776646566,56.312,44.5533,1.0,1.8188581721356407,10.414657666345237
1.0,2.0,0.406,0.4,0.3935312083953325,26.48500000000001,38.0132,0.0,0.3289216070169943,16.417910447761198
1.0,1.0,0.209,0.5720000000000001,0.8174093507713995,32.855999999999995,44.5533,1.0,0.6578432140339886,19.52095808383234
1.0,0.0,0.384,0.672,1.3979168298222258,81.551,39.0,0.0,0.7851045500822303,43.83753501400561
0.0,1.0,0.279,0.431,1.6524395019187097,65.08,43.8634,1.0,1.2686976270655494,23.222748815165893
1.0,0.0,0.228,0.424,0.6186858798652988,83.49,38.0132,0.0,0.5110032109014019,17.405063291139232
3.0,1.0,0.364,0.416,0.3113008066410839,53.822,46.6905,0.0,0.16641867021693166,46.540880503144635
3.0,0.0,0.466,0.5529999999999999,0.3896154749784635,25.925000000000008,53.0,0.0,0.07244106821207613,81.4070351758794
0.0,0.0,0.133,0.7170000000000001,1.6818075025452268,75.122,45.31,1.0,0.6206437465737332,63.0966239813737
0.0,0.0,0.308,0.561,2.0694651108152557,31.614000000000004,53.0,0.0,0.5364554781110502,74.07757805108798
1.0,1.0,0.34,0.539,0.3974469418122014,24.109,39.0,0.0,0.1859973373012765,53.201970443349765
2.0,1.0,0.185,0.586,3.1130080664108384,40.53100000000001,33.1361,0.0,1.0709530895136659,65.59748427672955
0.0,3.0,0.159,0.324,1.0043856214268931,76.062,18.6815,1.0,0.775315216540058,22.807017543859644
